Time (s),Voltage(CH1) (V),Voltage(CH2) (V)
2.54e-07,-5.08,-1.016
2.544e-07,-5.08,-1.016
2.5480000000000003e-07,-5.08,-1.016
2.552e-07,-5.08,-1.016
2.556e-07,-5.08,-1.016
2.56e-07,-5.08,-1.016
2.564e-07,-5.08,-1.016
2.568e-07,-5.08,-1.016
2.572e-07,-5.08,-1.016
2.5760000000000003e-07,-5.08,-1.016
2.58e-07,-5.08,-1.016
2.584e-07,-5.08,-1.016
2.588e-07,-5.08,-1.016
2.592e-07,-5.08,-1.016
2.596e-07,-5.08,-1.016
2.6e-07,-5.08,-1.016
2.6040000000000003e-07,-5.08,-1.016
2.608e-07,-5.08,-1.016
2.612e-07,-5.08,-1.016
2.616e-07,-5.08,-1.016
2.62e-07,-5.08,-1.016
2.624e-07,-5.08,-1.016
2.628e-07,-5.08,-1.016
2.6320000000000003e-07,-5.08,-1.016
2.636e-07,-5.08,-1.016
2.6400000000000003e-07,-5.08,-1.016
2.644e-07,-5.08,-1.016
2.648e-07,-5.08,-1.016
2.652e-07,-5.08,-1.016
2.656e-07,-5.08,-1.016
2.66e-07,-5.08,-1.016
2.664e-07,-5.08,-1.016
2.6680000000000003e-07,-5.08,-1.016
2.672e-07,-5.08,-1.016
2.676e-07,-5.08,-1.016
2.68e-07,-5.08,-1.016
2.684e-07,-5.08,-1.016
2.688e-07,-5.08,-1.016
2.692e-07,-5.08,-1.016
2.6960000000000003e-07,-5.08,-1.016
2.7e-07,-5.08,-1.016
2.704e-07,-5.08,-1.016
2.708e-07,-5.08,-1.016
2.712e-07,-5.08,-1.016
2.716e-07,-5.08,-1.016
2.72e-07,-5.08,-1.016
2.7240000000000003e-07,-5.08,-1.016
2.728e-07,-5.08,-1.016
2.732e-07,-5.08,-1.016
2.736e-07,-5.08,-1.016
2.74e-07,-5.08,-1.016
2.744e-07,-5.08,-1.016
2.748e-07,-5.08,-1.016
2.7520000000000003e-07,-5.08,-1.016
2.756e-07,-5.08,-1.016
2.7600000000000004e-07,-5.08,-1.016
2.764e-07,-5.08,-1.016
2.768e-07,-5.08,-1.016
2.772e-07,-5.08,-1.016
2.776e-07,-5.08,-1.016
2.7800000000000003e-07,-5.08,-1.016
2.784e-07,-5.08,-1.016
2.7880000000000003e-07,-5.08,-1.016
2.792e-07,-5.08,-1.016
2.796e-07,-5.08,-1.016
2.8e-07,-5.08,-1.016
2.804e-07,-5.08,-1.016
2.808e-07,-5.08,-1.016
2.812e-07,-5.08,-1.016
2.8160000000000003e-07,-5.08,-1.016
2.82e-07,-5.08,-1.016
2.824e-07,-5.08,-1.016
2.828e-07,-5.08,-1.016
2.832e-07,-5.08,-1.016
2.836e-07,-5.08,-1.016
2.84e-07,-5.08,-1.016
2.8440000000000003e-07,-5.08,-1.016
2.848e-07,-5.08,-1.016
2.852e-07,-5.08,-1.016
2.856e-07,-5.08,-1.016
2.86e-07,-5.08,-1.016
2.864e-07,-5.08,-1.016
2.868e-07,-5.08,-1.016
2.8720000000000003e-07,-5.08,-1.016
2.876e-07,-5.08,-1.016
2.88e-07,-5.08,-1.016
2.884e-07,-5.08,-1.016
2.888e-07,-5.08,-1.016
2.892e-07,-5.08,-1.016
2.896e-07,-5.08,-1.016
2.9000000000000003e-07,-5.08,-1.016
2.904e-07,-5.08,-1.016
2.9080000000000004e-07,-5.08,-1.016
2.912e-07,-5.08,-1.016
2.916e-07,-5.08,-1.016
2.92e-07,-5.08,-1.016
2.924e-07,-5.08,-1.016
2.9280000000000003e-07,-5.08,-1.016
2.932e-07,-5.08,-1.016
2.9360000000000003e-07,-5.08,-1.016
2.94e-07,-5.08,-1.016
2.944e-07,-5.08,-1.016
2.948e-07,-5.08,-1.016
2.952e-07,-5.08,-1.016
2.956e-07,-5.08,-1.016
2.96e-07,-5.08,-1.016
2.9640000000000003e-07,-5.08,-1.016
2.968e-07,-5.08,-1.016
2.972e-07,-5.08,-1.016
2.976e-07,-5.08,-1.016
2.98e-07,-5.08,-1.016
2.984e-07,-5.08,-1.016
2.988e-07,-5.08,-1.016
2.9920000000000003e-07,-5.08,-1.016
2.996e-07,-5.08,-1.016
3e-07,-5.08,-1.016
3.004e-07,-5.08,-1.016
3.008e-07,-5.08,-1.016
3.012e-07,-5.08,-1.016
3.016e-07,-5.08,-1.016
3.0200000000000003e-07,-5.08,-1.016
3.024e-07,-5.08,-1.016
3.028e-07,-5.08,-1.016
3.032e-07,-5.08,-1.016
3.036e-07,-5.08,-1.016
3.04e-07,-5.08,-1.016
3.044e-07,-5.08,-1.016
3.0480000000000003e-07,-5.08,-1.016
3.052e-07,-5.08,-1.016
3.0560000000000004e-07,-5.08,-1.016
3.06e-07,-5.08,-1.016
3.064e-07,-5.08,-1.016
3.068e-07,-5.08,-1.016
3.072e-07,-5.08,-1.016
